word,sentense,pronounce,definition
Altruistic,"The doctor was altruistic in helping others.","al-troo-IS-tik","caring about others more than yourself"
Ambiguous,"The directions were ambiguous and hard to follow.","am-BIG-yoo-us","not clear; having more than one meaning"
Architect,"The architect designed a tall building.","AR-ki-tekt","a person who designs buildings"
Belligerent,"The player became belligerent after the foul.","buh-LIJ-er-ent","angry and ready to fight"
Benevolent,"The benevolent woman donated to charity.","buh-NEV-uh-luhnt","kind and generous"
Blatant,"His blatant disrespect angered the teacher.","BLAY-tuhnt","very obvious; easy to see"
Brilliant,"The scientist had a brilliant idea.","BRIL-yuhnt","very smart; very bright"
Capricious,"The weather was capricious, changing suddenly.","kuh-PRISH-us","changing quickly and unpredictably"
Chronic,"He suffered from chronic headaches.","KRON-ik","lasting a long time; ongoing"
Conscience,"Always listen to your conscience when making decisions.","KON-shuns","the inner sense of right and wrong"
Courageous,"The firefighter was courageous.","kur-RAY-juhs","brave"
Deception,"The magician’s trick was an act of deception.","dee-SEP-shun","something meant to trick or mislead"
Delightful,"The cake was delightful.","di-LYTE-ful","very pleasant; enjoyable"
Diligent,"The student was diligent in her studies.","DIL-ih-jent","hardworking and careful"
Eccentric,"The artist had an eccentric personality.","ek-SEN-trik","unusual in a way people notice"
Eloquent,"The speaker gave an eloquent speech.","EL-uh-kwent","speaking in a clear, powerful way"
Embarrassment,"She turned red with embarrassment after tripping in the hallway.","im-BAR-us-muhnt","a feeling of shame or awkwardness"
Fastidious,"She was fastidious about keeping her room tidy.","fa-STID-ee-us","very careful about being neat and clean"
Flourish,"The flowers flourished in the warm sunlight.","FLUR-ish","to grow well; to do well"
Flummox,"The magician’s trick managed to flummox the entire audience.","FLUM-uhks","to confuse"
Fortunate,"I feel fortunate to have good friends.","FOR-chuh-nit","lucky"
Glisten,"The snow will glisten in the sunlight.","GLIS-uhn","to shine with a sparkling light"
Gratitude,"She expressed gratitude for the kind gesture.","GRAT-ih-tood","thankfulness"
Gregarious,"He was a gregarious and friendly person.","gruh-GAIR-ee-us","friendly and social"
Humility,"The athlete showed humility despite winning.","hyoo-MIL-ih-tee","being modest; not bragging"
