word,sentense,pronounce,definition
Because,I stayed inside because it was raining.,,for the reason that
Before,Wash your hands before dinner.,,earlier than
Could,I could hear the birds singing.,,able to
Every,I read every night before bed.,,each one
Find,Can you find your shoes?,,to locate
Funny,That joke was funny.,,makes you laugh
Give,Please give me the pencil.,,to hand to someone
Goodbye,I waved goodbye to my friend.,,a parting word
Green,The green leaf fell down.,,a color like grass
Happy,I felt happy on my birthday.,,feeling joy
Little,The little kitten slept.,,small
Mother,My mother packed my lunch.,,a female parent
Number,What number comes after five?,,a count or numeral
People,Many people came to the park.,,more than one person
Picture,I drew a picture of a tree.,,an image or drawing
Playground,We ran on the playground at recess.,,an outdoor play area
Pretty,The flower looks pretty.,,nice to look at
Sentence,Write a sentence about your day.,,a group of words with meaning
Should,You should wear your helmet.,,it is a good idea to
Something,I heard something in the closet.,,an unknown thing
Thank,I thank you for your help.,,to show gratitude
Their,Their dog is very friendly.,,belonging to them
Together,We worked together on the puzzle.,,with each other
Under,The ball rolled under the table.,,below
Would,"I would like some water, please.",,used to express a wish
About,Tell me about your day.,,around; concerning
After,We played after school.,,later than
Again,Please read it again.,,one more time
Animal,The animal ran fast.,,a living creature
Around,Look around the room.,,in a circle
Ask,I will ask a question.,,to say you want to know
Baby,The baby smiled.,,a very young child
Back,Put the book back.,,the rear part
Ball,I threw the ball.,,a round object
Best,You did your best.,,the greatest
Bird,The bird sang.,,an animal with feathers
Black,The cat is black.,,a very dark color
Blue,My shirt is blue.,,a color like the sky
Book,I read a book.,,pages you read
Brown,The dog is brown.,,a color like chocolate
Brother,My brother is kind.,,a male sibling
Busy,I am busy now.,,doing something
Cake,We ate cake.,,a sweet dessert
Call,Please call me.,,to speak by phone or shout
Carry,I can carry the bag.,,to hold and move
Cat,The cat slept.,,a small pet animal
Chair,Sit on the chair.,,a seat
Clean,I will clean my room.,,to make not dirty
Close,Close the door.,,to shut
Cold,My hands are cold.,,not warm
Come,Come here please.,,to move toward
Day,Today is a sunny day.,,a time of light
Dear,Dear friend I miss you.,,loved; special
Down,The leaves fall down.,,toward the ground
Draw,I like to draw.,,to make a picture
Drink,Drink your water.,,to swallow a liquid
Eat,We eat lunch.,,to take food
End,This is the end.,,the last part
Far,The store is far.,,not near
Fast,The rabbit is fast.,,quick
Father,My father cooks dinner.,,a male parent
Feel,I feel tired.,,to sense
Fire,The fire is warm.,,flames that burn
First,I am first in line.,,number one
Food,Food gives energy.,,what you eat
Friend,My friend helped me.,,a person you like
From,This is from my teacher.,,starting at
Girl,The girl laughed.,,a young female
Go,Go to the door.,,to move
Great,You did great!,,very good
Help,Help me please.,,to give support
Here,Come here.,,in this place
Home,I went home.,,where you live
House,Our house is small.,,a building to live in
Jump,I can jump high.,,to hop up
Kind,Be kind to others.,,nice and caring
Know,I know the answer.,,to understand
Large,The large box is heavy.,,big
Laugh,I laugh at jokes.,,to smile and sound happy
Learn,We learn new words.,,to get knowledge
Light,Turn on the light.,,something that makes things bright
Like,I like apples.,,to enjoy
Look,Look at the sky.,,to see
Make,We make a craft.,,to create
Many,Many stars shine.,,a lot
Myself,I can do it myself.,,without help
New,I got a new backpack.,,not old
Nice,That is a nice gift.,,pleasant
Open,Open the window.,,to make not closed
Other,The other toy is mine.,,different one
Over,The plane flew over us.,,above
Park,We went to the park.,,a place to play outside
Party,We had a party.,,a fun gathering
Please,Please pass the bread.,,a polite word
Rabbit,The rabbit hopped.,,an animal with long ears
Rain,Rain fell from the sky.,,water from clouds
Read,I read every day.,,to look at words
Red,The apple is red.,,a bright color
Run,I run fast.,,to move quickly
