Word,Sentense,Pronounce,Definition
Abandon,"The old house was abandoned years ago.","uh-BAN-duhn","to leave behind; desert"
Admire,"I admire the bravery of firefighters.","ad-MY-er","to respect; to like a lot"
Alligator,"The alligator rested by the river.","AL-ih-gay-tur","a large reptile like a crocodile"
Alley,"The alley behind my house is very narrow.","AL-ee","a narrow street or passage"
Ancient,"The pyramids of Egypt are ancient.","AYN-shunt","very old; from long ago"
Astonish,"The magician's tricks astonish the audience.","uh-STON-ish","to surprise greatly"
Apple,"I ate a red apple for lunch.","AP-uhl","a round fruit with firm flesh"
Balloon,"The balloon floated into the sky.","buh-LOON","a rubber bag filled with air/gas"
Banana,"The banana was ripe and sweet.","buh-NAN-uh","a long curved yellow fruit"
Banish,"The evil wizard was banished from the kingdom.","BAN-ish","to send away; exile"
Barbecue,"We had a barbecue in our backyard.","BAR-buh-kyoo","a cookout; grilled food"
Barren,"The land was barren and dry.","BAR-ren","dry; not able to grow plants"
Basket,"She carried apples in a basket.","BAS-kit","a woven container"
Bewitch,"The fairy tale spoke of a bewitching spell.","bee-WITCH","to charm; cast a spell on"
Blueberry,"I added fresh blueberries to my cereal.","BLOO-ber-ee","a small blue-purple berry"
Broccoli,"I eat broccoli with cheese sauce.","BROK-uh-lee","a green vegetable with florets"
Brownie,"I baked a chocolate brownie.","BROW-nee","a small square chocolate dessert"
Camel,"The camel walked slowly through the desert.","KAM-uhl","a desert animal with humps"
Campfire,"We sang songs around the campfire.","KAMP-fy-er","an outdoor fire for warmth/cooking"
Candle,"The candle flickered in the dark.","KAN-dl","wax with a wick that burns"
Cantaloupe,"The cantaloupe was sweet and juicy.","KAN-tuh-lohp","a sweet orange-fleshed melon"
Caramel,"I love caramel on my ice cream.","KAR-uh-mel","cooked sugar; sweet brown sauce"
Carpet,"We have a soft carpet in the living room.","KAR-pit","a thick floor covering"
Cavern,"We explored a deep cavern in the mountains.","KAV-urn","a large cave"
Chocolate,"I love chocolate cake.","CHAW-kuh-lit","a sweet made from cocoa"
Cinnamon,"I sprinkled cinnamon on my toast.","SIN-uh-muhn","a sweet spicy seasoning"
Coconut,"Coconut flakes were on top of the cake.","KOH-kuh-nut","a hard-shelled tropical nut"
Cowboy,"The cowboy rode his horse across the field.","KOW-boy","a cattle worker; rodeo rider"
Crackers,"I ate crackers with cheese.","KRAK-ers","thin crisp baked snacks"
Crayon,"I used a red crayon to draw a heart.","KRAY-on","a colored wax drawing stick"
Crumble,"The old castle began to crumble over time.","KRUM-buhl","to break into small pieces"
Cucumber,"Slices of cucumber are great in salads.","KYOO-kum-ber","a long green vegetable"
Defiant,"The defiant child refused to do his homework.","di-FY-uhnt","boldly disobedient"
Dinosaur,"Dinosaurs lived millions of years ago.","DYE-nuh-sor","a prehistoric reptile"
Doughnut,"I had a chocolate-covered doughnut.","DOH-nut","a fried sweet bread ring"
Dream,"I had a funny dream last night.","DREEM","a story in your mind while sleeping"
Drench,"The rain will drench you if you forget your umbrella.","DRENCH","to soak completely"
Eager,"The puppy was eager to go outside.","EE-ger","excited and ready"
Eagle,"An eagle soared over the trees.","EE-guhl","a large bird of prey"
Elusive,"The elusive butterfly flew away before I could catch it.","ih-LOO-siv","hard to catch or find"
